"id","raceId","raceTypeDetail","electionYear","officeTypeId","contributionLimit","winners__001","winners__002"
"73","12F","Council - Ward 8","2012","3","500","223",""
"74","12G","Council - Chair (Special)","2012","3","1500","271",""
"75","12H","Shadow U.S. Senator","2012","4","","245",""
"76","12I","Shadow U.S. Representative","2012","4","","256",""
"77","12J","School Board - At-Large","2012","5","500","236",""
"78","12K","School Board - Ward 2","2012","5","200","136",""
"79","12L","School Board - Ward 4","2012","5","200","68",""
"80","12M","School Board - Ward 7","2012","5","200","174",""
"81","12N","School Board - Ward 8","2012","5","200","336",""
"82","12O","Partisan Positions & Convention Delegates - General","2012","6","","",""
"83","13A","Council - At-Large (Special)","2013","3","1000","14",""
"84","14A","Mayor","2014","1","2000","253",""
"85","14B","Attorney General","2014","2","1500","175",""
"86","14C","Council - Chair","2014","3","1500","271",""
"87","14D","Council - At-Large","2014","3","1000","14","108"
"88","14E","Council - Ward 1","2014","3","500","37",""
"89","14F","Council - Ward 3","2014","3","500","234",""
"90","14G","Council - Ward 5","2014","3","500","183",""
"91","14H","Council - Ward 6","2014","3","500","55",""
"92","14I","Shadow U.S. Senator","2014","4","","264",""
"93","14J","Shadow U.S. Representative","2014","4","","118",""
"94","14K","School Board - Ward 8 (Special)","2014","5","","325",""
"95","14L","School Board - Ward 1","2014","5","200","197",""
"96","14M","School Board - Ward 3","2014","5","200","298",""
"97","14N","School Board - Ward 5","2014","5","200","225",""
"98","14O","School Board - Ward 6","2014","5","200","158",""
"99","14P","Partisan Positions & Convention Delegates - General","2014","6","","",""
"100","15A","Council - Ward 4 (Special)","2015","3","500","35",""
"101","15B","Council - Ward 8 (Special)","2015","3","500","194",""
"102","16A","Council - At-Large","2016","3","1000","82","290"
"103","16B","Council - Ward 2","2016","3","500","135",""
"104","16C","Council - Ward 4","2016","3","500","35",""
"105","16D","Council - Ward 7","2016","3","500","344",""
"106","16E","Council - Ward 8","2016","3","500","336",""
"107","16F","Shadow U.S. Representative","2016","4","","118",""
"108","16G","School Board - At-Large","2016","5","500","25",""
"109","16H","School Board - Ward 2","2016","5","200","136",""
"110","16I","School Board - Ward 4","2016","5","200","192",""
"111","16J","School Board - Ward 7","2016","5","200","174",""
"112","16K","School Board - Ward 8","2016","5","200","228",""
"113","16L","Partisan Positions & Convention Delegates - General","2016","6","","",""
"114","18A","Mayor","2018","1","2000","",""
"115","18B","Attorney General","2018","2","1500","",""
"116","18C","Council - Chair","2018","3","1500","",""
"117","18D","Council - At-Large","2018","3","1000","",""
"118","18E","Council - Ward 1","2018","3","500","",""
"119","18F","Council - Ward 3","2018","3","500","",""
"120","18G","Council - Ward 5","2018","3","500","",""
"121","18H","Council - Ward 6","2018","3","500","",""
"122","18I","Shadow U.S. Senator","2018","4","","",""
"123","18J","Shadow U.S. Representative","2018","4","","",""
"124","18K","School Board - Ward 1","2018","5","200","",""
"125","18L","School Board - Ward 3","2018","5","200","",""
"126","18M","School Board - Ward 5","2018","5","200","",""
"127","18N","School Board - Ward 6","2018","5","200","",""
"128","18O","Partisan Positions & Convention Delegates - General","2018","6","","",""
